"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Тест получения месячной активности [1] {userId=user1, month=2025-03}, 200, {""2025-03-27"":4320}","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","3","testGetUserStatus(long, String) [8] 999, Highly active","","Tue Apr 01 01:04:23 GMT 2025","passed","Tue Apr 01 01:04:23 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","14","Тест получения месячной активности [5] {userId=user1, month=2025-03-30T01:04:18.790585513}, 400, Invalid data: Text '2025-03-30T01:04:18.790585513' could not be parsed, unparsed text found at index 7","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity"
"","3","testGetUserLastSessionDate(LocalDateTime, List) [2] 2025-03-29T01:04:23.023534492, [Session[loginTime=2025-03-18T01:04:23.023541305, logoutTime=2025-03-19T01:04:23.023551764], Session[loginTime=2025-03-25T01:04:23.023558707, logoutTime=2025-03-27T01:04:23.023564378], Session[loginTime=2025-03-28T01:04:23.023570159, logoutTime=2025-03-29T01:04:23.023575298]]","","Tue Apr 01 01:04:23 GMT 2025","passed","Tue Apr 01 01:04:23 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate"
"","17","Тест записи сессии [3] {logoutTime=2025-03-30T01:04:18.790585513, userId=user1}, 400, Missing parameters","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","12","Тест получения неактивных пользователей [4] {days=abc}, 400, Invalid number format for days","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers"
"","17","Тест регистрации пользователя [4] {userName=Alice, userId=user1}, 400, User already registered","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:21 GMT 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration"
"","1139","testGetUserStatus(long, String) [1] 119, Active","","Tue Apr 01 01:04:21 GMT 2025","passed","Tue Apr 01 01:04:22 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","3","testGetUserStatus(long, String) [7] 0, Inactive","","Tue Apr 01 01:04:23 GMT 2025","passed","Tue Apr 01 01:04:23 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
"","6","testGetUserStatus(long, String) [2] 120, Highly active","","Tue Apr 01 01:04:22 GMT 2025","passed","Tue Apr 01 01:04:22 GMT 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus"
